date,product_id,total_amt
2021-01-24,2bfe7621,828.02
2021-01-24,f69f3b4a,241.14
2021-01-24,722aa0d5,606.22
2021-01-24,785c1948,949.77
2021-01-24,a1e0ce88,558.22
2021-01-24,c720b985,1967.86
2021-01-24,a1193aba,1741.76
2021-01-24,83aa2744,2013.23
2021-01-24,2bcee1f9,1524.32
2021-01-24,a4b3ec15,1786.94
2021-01-24,d749f7e0,913.75
2021-01-24,fdc3c68d,579.23
2021-01-24,31d08250,1707.91
2021-01-24,d075be3d,331.56
2021-01-24,44b90490,146.81
2021-01-24,e5dd56b9,1035.02
2021-01-24,733f4982,2250.83
2021-01-24,677c489b,1410.52
2021-01-24,4c437167,1211.51
2021-01-24,97c23de4,2810.52
2021-01-24,ebce9a73,457.71
2021-01-24,8ce1c0c5,1514.09
2021-01-24,bfacfbf0,1120.43
2021-01-24,cf48c632,154.96
2021-01-24,55f0281b,382.81
2021-01-24,7dfc933f,1234.52
2021-01-24,31d98a6a,1502.57
2021-01-24,7f247171,1608.77
2021-01-24,09ced772,1379.17
2021-01-24,a3b43849,1460.76
2021-01-24,fa43322a,1492.52
2021-01-24,69d0a9b3,958.89
2021-01-24,14baa982,904.73
2021-01-24,0cabc07c,3086.62
2021-01-24,5ee3ad1d,1564.68
2021-01-24,61a123f8,413.5
2021-01-24,89d58076,218.48
2021-01-24,8ec0400b,1215.14
2021-01-24,a6d13cea,1048.14
2021-01-24,c8575c03,2099.81
2021-01-24,829c4f6b,2133.37
2021-01-24,8e351335,1312.3
2021-01-24,95f5388c,779.41
2021-01-24,78f0fbc7,3122.59
2021-01-24,dda1674e,1329.46
2021-01-24,5795f5b1,1034.03
2021-01-24,e9777645,791.23
2021-01-24,73ac53dc,790.7
2021-01-24,745365ef,3200.43
2021-01-24,aa86fa16,1032.75
2021-01-24,6af326d8,1475.23
2021-01-24,f8f359db,613.3
2021-01-24,f6580645,1202.47
2021-01-24,b657483d,2273.52
2021-01-24,05065d8d,1072.76
2021-01-24,ee4130cb,384.5
2021-01-24,bc7eaa47,820.14
2021-01-24,5fa00ef2,1065.41
2021-01-24,df29eacd,705.75
2021-01-24,2795e32e,769.94
2021-01-24,5182fb4d,1346.71
2021-01-24,077ef06b,3209.26
2021-01-24,6b9a799c,203.99
2021-01-24,17d73797,1425.8
2021-01-24,903d9cff,2120.97
2021-01-24,319ed717,992.46
2021-01-24,a72fb910,3258.16
2021-01-24,509fce59,1168.37
2021-01-24,8e89ccd1,2524.47
2021-01-24,14ef30b8,1292.37
2021-01-24,2496461c,2283.12
2021-01-24,a637f4f2,2155.92
2021-01-24,335bf47b,389.19
2021-01-24,eac052c5,1088.43
2021-01-24,573b3140,462.88
2021-01-24,f33d73ff,2800.99
2021-01-24,257803a3,2379.98
2021-01-25,8f40b54f,305.02
2021-01-25,e28e301a,2027.93
2021-01-25,438b7061,2097.44
2021-01-25,cff49f0b,999.95
2021-01-25,51fefc12,486.56
2021-01-25,d6f5a85d,1043.35
2021-01-25,6ce8243f,379.76
2021-01-25,e4aa83b4,2571.43
2021-01-25,ac1d8f46,825.78
2021-01-25,48f290b8,973.19
2021-01-25,6b5103d3,2139.8
2021-01-25,f090045a,1365.1
2021-01-25,0b92562a,953.12
2021-01-25,0fc11b43,2470.87
2021-01-25,7d04626d,1031.95
2021-01-25,6d5c0f3a,91.94
2021-01-25,03ad299e,290.72
2021-01-25,f86e7f85,2203.25
2021-01-25,7c96a8da,2908.9
2021-01-25,77d3ae82,1461.16
2021-01-25,953f024e,1085.34
2021-01-25,d6e3dc6b,704.95
2021-01-25,60a467f8,448.75
2021-01-25,6f362a61,869.31
2021-01-25,aa4d9791,1834.61
2021-01-25,0ef6cf31,1106.52
2021-01-25,158e30b6,1235.95
2021-01-25,86d58470,161.33
2021-01-25,fdcf3ec5,1589.27
2021-01-25,3674e47c,1040.94
2021-01-25,6fa956df,842.98
2021-01-25,2abfd465,2742.36
2021-01-25,49a27a8c,712.72
2021-01-25,8ecc4ea7,1409.17
2021-01-25,e736ba5d,1365.72
2021-01-25,1ec17bcb,1805.77
2021-01-25,f4764585,1874.7
2021-01-25,7641224e,3435.15
2021-01-25,21083fe9,3352.8
2021-01-25,4cc344a0,3565.79
2021-01-25,dc0242cd,1845.84
2021-01-25,367ff926,1171.34
2021-01-25,0f435173,1718.91
2021-01-25,aa2de5b6,1582.07
2021-01-25,528d9cff,942.78
2021-01-25,4230361c,404.96
2021-01-25,aee81942,2577.24
